title,content,helpful,unhelpful,product_url,target
Amazing for the price!,"These earbuds are really good for just about $100, punchy and deep bass is really good and aound quality is very rich. Some fine tuning in the app definitely can make a difference. Call quality is also excellent and people can hear me clearly. The easy switching between noise canceling and pass through is a breeze and can make hearing others while listening to music a simple push of a button.",1,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,1
Sony’s Bang for the Buck!,"If you are a millennial, you might remember the Brand Sony for their stereos and walkmans. These cheap Bluetooth active noise cancelling TWS earphones remind me of that simple era.

They are compatible with an iphone but their true potential of auto connection is explored by an Android device.

They fit my large ears perfectly for that Noise cancelling seal. Smaller ear people might need to change the buds to a different size provided.

Noise cancelling is as good as the expensive ones. They do dull out the back ground hum of an airplane. Do not expect the performance of the fruit brand. Keep in mind the price you are paying and the value you are getting at this price point.

Best Buy has the best offers. Keep checking and you might hit the discount pot.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,1
Impressive earbuds,"Excellent earbuds. Purchased this recently as my phone no longer supported my wired earbuds, and was instantly converted to the side of wireless earbuds. They fit my earholes perfectly and stay in during workouts, the sound is good with a nice option to use noise cancelling or let ambient noise in, and the batter life is great. No complaints.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,1
"GREAT SOUND, PRICE, AND COMFORTABLE","These sound really good out of the box but the app makes them way better. They also really comfortable i feel like i could sleep with them. The noise cancelling is pretty good too. They sound better than the beats for around the same price ,the beats over time will develop a problem that causes the left earbud to stop charging and is a know issue apple won't do anything about it...lets see if how sony holds up over time.",1,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,1
Decent wireless ear buds,"This is a DECENT pair of headphones ear buds considering the price. They work well indoors when on the phone, outside not so great. The noise canceling feature is fickle. I like the add ins that come with the device: the different size ear buds cushions, small USB cord, and charging case. Sound quality for music is great and it’s adequate for hands free. 4 out of 5 hands down.",0,1,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,0
Threw out my AirPods 2nd gen !!,I love them. You can actually adjust the sound to these by just downloading the app. I love the fit as well better fit then my AirPods 2nd gen honestly. They don’t slip out of my ear. Also you can adjust noise cancellation by just a click. This item is a must have !!,1,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,0
Great budget earbuds.,"These are great for a budget the active noise canceling is good enough. 
The pros is if you have a Sony Xperia phone the seamless integration is really cool. On the side sense you can see the Sony WF-7OON, on the information displaying like sitting and moving with adjusting the equalizer. These are very light earbuds compared to Sony flagship models that were very heavy and felt like they would fall off my ears. The active noise canceling does not provide good aware mode so often I cannot hear my colleagues talking to me or when I am driving my car I cannot hear the flow of traffic, I need some good earbuds that offer a way to adapt to local surroundings.
What are the cons on these earbuds are the battery case life capacity is 12 hours. Not very long in the earbuds world. I was surprised to see that the case has depleted it reserves after me using these earbuds for 2 days in a work environment of about 4 hours per day.",2,3,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,0
I would recommend,Decent for the price. My only gripe is the physical buttons. I constantly press them when I reposition the earbuds. Though overall a good product,0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,0
Works great,Work great so far had them for going on 6months now,0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,1
10/10,"Great fit and feel. Works amazing for while I'm at work walking, really cancels out the noise around me.",0,0,https://www.bestbuy.com/site/reviews/sony-wf-c700n-truly-wireless-noise-canceling-in-ear-headphones-black/6538256?variant=A,0
